Word,Standard,Category
reception,reception,social_event
reunion,reunion,social_event
safari,safari,social_event
symphony,symphony,social_event
tour,tour,social_event
tournament,tournament,social_event
wedding,wedding,social_event
advice,advice,communication
apology,apology,communication
class,class,communication
commemoration,commemoration,communication
comment,comment,communication
commentary,commentary,communication
complaint,complaint,communication
compliment,compliment,communication
debate,debate,communication
denial,denial,communication
deposition,deposition,communication
dictation,dictation,communication
discourse,discourse,communication
dispute,dispute,communication
eulogy,eulogy,communication
greeting,greeting,communication
grievance,grievance,communication
huddle,huddle,communication
interrogation,interrogation,communication
joke,joke,communication
lecture,lecture,communication
lesson,lesson,communication
meeting,meeting,communication
plea,plea,communication
praise,praise,communication
protest,protest,communication
quarrel,quarrel,communication
rant,rant,communication
rebuke,rebuke,communication
rebuttal,rebuttal,communication
recitation,recitation,communication
sermon,sermon,communication
showdown,showdown,communication
squabble,squabble,communication
testimony,testimony,communication
thanks,thanks,communication
threat,threat,communication
trial,trial,communication
tribute,tribute,communication
wisecrack,wisecrack,communication
